id,psnr,ssim,frac_out_of_range,lpips
001030.npy,30.510040283203125,0.7854171395301819,0.0,0.3054932951927185
001077.npy,26.43345832824707,0.6513211131095886,0.0,0.30608612298965454
001083.npy,35.09330368041992,0.8544515371322632,0.0,0.24014124274253845
001110.npy,22.591772079467773,0.8053116202354431,0.0,0.15779875218868256
001177.npy,24.713842391967773,0.7941786050796509,0.0,0.22778750956058502
001187.npy,25.51241683959961,0.7397560477256775,0.0,0.22711752355098724
001188.npy,21.983642578125,0.5363279581069946,0.0,0.4261438846588135
001225.npy,34.22361755371094,0.881646454334259,0.0,0.17146830260753632
001233.npy,32.29350662231445,0.9007593989372253,0.0,0.10316620767116547
001250.npy,27.730411529541016,0.6195970773696899,0.0,0.3006395697593689
001254.npy,27.0924015045166,0.785576343536377,0.0,0.2686820924282074
001260.npy,20.65194320678711,0.7232148051261902,0.0,0.14710822701454163
001261.npy,33.768035888671875,0.9290869832038879,0.0,0.10496964305639267
001289.npy,23.487934112548828,0.7323497533798218,0.0,0.20053759217262268
001295.npy,29.459300994873047,0.78105628490448,0.0,0.33820289373397827
001340.npy,29.711753845214844,0.8013783693313599,0.0,0.3164965510368347
001390.npy,32.77871322631836,0.7307835817337036,0.0,0.3885142505168915
001393.npy,28.728866577148438,0.6901580691337585,0.0,0.40754416584968567
001399.npy,24.167984008789062,0.5184611678123474,0.0,0.3388800621032715
001407.npy,36.98984909057617,0.8996309041976929,0.0,0.26025304198265076
001419.npy,26.535053253173828,0.7558268904685974,0.0,0.2441590428352356
001423.npy,29.698637008666992,0.8264808058738708,0.0,0.2910955250263214
001435.npy,36.328128814697266,0.94599449634552,0.0,0.06626727432012558
001453.npy,30.20380210876465,0.8101942539215088,0.0,0.19143082201480865
001479.npy,29.68413543701172,0.8544865250587463,0.0,0.15689006447792053
001496.npy,29.831966400146484,0.8815879821777344,0.0,0.19318567216396332
001546.npy,30.776071548461914,0.8343555331230164,0.0,0.2050432711839676
001555.npy,25.47355842590332,0.720411479473114,0.0,0.2821241319179535
001563.npy,25.253726959228516,0.8359298706054688,0.0,0.14824150502681732
001577.npy,35.4405517578125,0.9342393279075623,0.0,0.12441323697566986
001588.npy,29.430435180664062,0.6195178627967834,0.0,0.4096575379371643
001609.npy,27.038990020751953,0.7885854840278625,0.0,0.1690899133682251
001619.npy,30.393230438232422,0.8028436899185181,0.0,0.21980459988117218
001623.npy,31.197715759277344,0.8666681051254272,0.0,0.19091400504112244
001639.npy,22.385784149169922,0.7467710375785828,0.0,0.2627691328525543
001683.npy,27.280818939208984,0.9077773094177246,0.0,0.11759281158447266
001705.npy,33.24620056152344,0.9013698101043701,0.0,0.18683287501335144
001707.npy,34.66685485839844,0.921800971031189,0.0,0.1258072406053543
001727.npy,23.06378173828125,0.660301685333252,0.0,0.2441439926624298
001766.npy,28.21914291381836,0.45698636770248413,0.0,0.5325172543525696
001780.npy,28.000080108642578,0.7777228951454163,0.0,0.3584163188934326
001794.npy,22.406723022460938,0.5902395844459534,0.0,0.2970869541168213
001828.npy,27.929458618164062,0.5930785536766052,0.0,0.37091660499572754
001865.npy,32.24568176269531,0.8184730410575867,0.0,0.2572189271450043
001893.npy,23.7702579498291,0.7045643925666809,0.0,0.24928492307662964
001921.npy,23.63452911376953,0.6235963702201843,0.0,0.2764776349067688
001922.npy,23.17448616027832,0.598864734172821,0.0,0.30674654245376587
001927.npy,23.852703094482422,0.22625762224197388,0.0,0.7213745713233948
001951.npy,27.019670486450195,0.8549900054931641,0.0,0.18633374571800232
001969.npy,29.133298873901367,0.5805569291114807,0.0,0.4619112014770508
001984.npy,30.612585067749023,0.8217270374298096,0.0,0.18221348524093628
001988.npy,32.423404693603516,0.954980194568634,0.0,0.07723187655210495
002010.npy,30.06072998046875,0.7195780873298645,0.0,0.3422791361808777
002019.npy,23.093677520751953,0.659127950668335,0.0,0.33811402320861816
002052.npy,25.31160545349121,0.8606562614440918,0.0,0.1640348881483078
