id,group,hf,conc,psnr,ssim,lpips
000421.npy,smooth / low-frequency,0.028795206919312477,0.2949811840424599,29.567626953125,0.6614024043083191,0.36685022711753845
000432.npy,structured / edge-dominated,0.03937262296676636,0.3511965628869961,29.738807678222656,0.8357622623443604,0.2004009485244751
000437.npy,smooth / low-frequency,0.01785309612751007,0.27828652050372144,31.352455139160156,0.8757653832435608,0.17722217738628387
000440.npy,smooth / low-frequency,0.031097516417503357,0.47296519220418565,27.209081649780273,0.7326012253761292,0.30795082449913025
000447.npy,smooth / low-frequency,0.023959225043654442,0.2879534656927412,29.325408935546875,0.7932859063148499,0.31326985359191895
000473.npy,smooth / low-frequency,0.01675919070839882,0.547628615329787,30.88294219970703,0.8860078454017639,0.20582926273345947
000497.npy,structured / edge-dominated,0.1906871497631073,0.3321315355823203,23.786029815673828,0.6447155475616455,0.31942635774612427
000501.npy,texture-heavy,0.10017768293619156,0.31233969897892366,25.06203842163086,0.6082834601402283,0.27078086137771606
000508.npy,structured / edge-dominated,0.037810321897268295,0.7074115762181825,31.8233699798584,0.9394994378089905,0.16951270401477814
000538.npy,smooth / low-frequency,0.014544690027832985,0.24688545316608004,33.02638244628906,0.9059779047966003,0.1624073088169098
000554.npy,smooth / low-frequency,0.01173088327050209,0.36797909449438343,31.077789306640625,0.8524788618087769,0.2155366837978363
000557.npy,smooth / low-frequency,0.03651091828942299,0.3707999140088857,36.51512145996094,0.9420290589332581,0.06169319525361061
000559.npy,smooth / low-frequency,0.036909911781549454,0.3584711571473298,35.58803939819336,0.939437210559845,0.07261303067207336
000579.npy,structured / edge-dominated,0.11694018542766571,0.603957531948454,23.452613830566406,0.6973975896835327,0.371006578207016
000583.npy,smooth / low-frequency,0.013466710224747658,0.2729760575009756,28.930614471435547,0.8774640560150146,0.0946715921163559
000618.npy,texture-heavy,0.0952819213271141,0.31579440164684275,26.723976135253906,0.637452244758606,0.3412918746471405
000634.npy,structured / edge-dominated,0.03708403930068016,0.46742649560016325,30.438663482666016,0.8624681830406189,0.2499236762523651
000655.npy,structured / edge-dominated,0.20388758182525635,0.37761069787844853,26.740222930908203,0.7680382132530212,0.17774875462055206
000683.npy,structured / edge-dominated,0.039404530078172684,0.5175717476047162,28.049663543701172,0.882594645023346,0.13556666672229767
000687.npy,smooth / low-frequency,0.028895577415823936,0.5037237684857855,28.37548065185547,0.7853990197181702,0.241805762052536
000690.npy,texture-heavy,0.04826534911990166,0.30664422274518827,25.09800148010254,0.8281424045562744,0.13502413034439087
000706.npy,texture-heavy,0.45004910230636597,0.20575344154094677,20.649627685546875,0.24161475896835327,0.8136453628540039
000717.npy,texture-heavy,0.321329802274704,0.263259114747409,20.496337890625,0.727348268032074,0.20634901523590088
000719.npy,texture-heavy,0.3394562005996704,0.2613961961830879,20.272125244140625,0.7195777297019958,0.2137165069580078
000722.npy,texture-heavy,0.201819509267807,0.3036529590021889,26.239927291870117,0.8795068264007568,0.09872762113809586
000780.npy,texture-heavy,0.16260041296482086,0.3034479263333585,20.788475036621094,0.670558750629425,0.32695263624191284
000783.npy,smooth / low-frequency,0.03171036019921303,0.21500464781840775,30.088529586791992,0.752311646938324,0.4895128905773163
000791.npy,smooth / low-frequency,0.007480504456907511,0.36051618275144515,36.03786849975586,0.9362470507621765,0.14359889924526215
000800.npy,texture-heavy,0.1837008148431778,0.20731914863292564,23.98137092590332,0.3053927421569824,0.6918711066246033
000834.npy,structured / edge-dominated,0.09112502634525299,0.4603065690802617,23.39501190185547,0.7830035090446472,0.26619598269462585
000853.npy,texture-heavy,0.12837018072605133,0.2745476299193969,21.928604125976562,0.5854490995407104,0.4212278127670288
000871.npy,texture-heavy,0.16906249523162842,0.20605003244258535,23.157901763916016,0.3024621903896332,0.6542820930480957
000875.npy,texture-heavy,0.164936825633049,0.2766349294905604,26.29159927368164,0.6763840317726135,0.3215824365615845
000887.npy,structured / edge-dominated,0.07114552706480026,0.4321589040962098,29.6192569732666,0.8751481771469116,0.12603098154067993
000902.npy,structured / edge-dominated,0.12376540899276733,0.4416900682158251,26.32894515991211,0.789769172668457,0.15943562984466553
000906.npy,texture-heavy,0.11129163205623627,0.22587889034792924,33.09839630126953,0.7432961463928223,0.3523986041545868
000920.npy,structured / edge-dominated,0.26244619488716125,0.37588880448227147,27.060562133789062,0.8226125836372375,0.17979156970977783
000925.npy,texture-heavy,0.05435832589864731,0.2672039444315746,30.480358123779297,0.6753283143043518,0.403708279132843
000945.npy,smooth / low-frequency,0.002960208337754011,0.5206444729067011,32.27253341674805,0.9310684204101562,0.1020452156662941
000951.npy,smooth / low-frequency,0.023251770064234734,0.48732142332616146,33.78205108642578,0.8984803557395935,0.1370897889137268
000969.npy,texture-heavy,0.10508957505226135,0.3021064527106507,23.941120147705078,0.5989338755607605,0.32377636432647705
000995.npy,smooth / low-frequency,0.03231586888432503,0.20718743951376006,32.20880889892578,0.6897777915000916,0.40502190589904785
000998.npy,smooth / low-frequency,0.022010041400790215,0.30017692180397587,29.64740753173828,0.8534560799598694,0.14586514234542847
000999.npy,smooth / low-frequency,0.01739322394132614,0.344887807818612,30.07673454284668,0.8747566342353821,0.12913314998149872
001003.npy,texture-heavy,0.045451171696186066,0.2627687462980997,26.394155502319336,0.5032188892364502,0.4651489853858948
001013.npy,smooth / low-frequency,0.031987715512514114,0.8036752545252621,29.862682342529297,0.9248102307319641,0.12499356269836426
001021.npy,texture-heavy,0.24393565952777863,0.28359277282288997,25.030261993408203,0.678193986415863,0.24544116854667664
001030.npy,smooth / low-frequency,0.01951269991695881,0.39264441391913574,30.510040283203125,0.7854171395301819,0.3054932951927185
001077.npy,texture-heavy,0.401649534702301,0.2374763522900928,26.43345832824707,0.6513211131095886,0.30608612298965454
001083.npy,smooth / low-frequency,0.016635876148939133,0.20727815445271014,35.09330368041992,0.8544515371322632,0.24014124274253845
001110.npy,structured / edge-dominated,0.07262744754552841,0.47028438343089257,22.591772079467773,0.8053116202354431,0.15779875218868256
001177.npy,structured / edge-dominated,0.09140734374523163,0.4325338891656358,24.713842391967773,0.7941786050796509,0.22778750956058502
001187.npy,texture-heavy,0.11353165656328201,0.28666128101707444,25.51241683959961,0.7397560477256775,0.22711752355098724
001188.npy,texture-heavy,0.10995566099882126,0.28631773636821717,21.983642578125,0.5363279581069946,0.4261438846588135
001225.npy,smooth / low-frequency,0.00785106047987938,0.2505483173111853,34.22361755371094,0.881646454334259,0.17146830260753632
001233.npy,smooth / low-frequency,0.012886597774922848,0.2586720717449407,32.29350662231445,0.9007593989372253,0.10316620767116547
001250.npy,texture-heavy,0.06388033926486969,0.2740621995838975,27.730411529541016,0.6195970773696899,0.3006395697593689
001254.npy,structured / edge-dominated,0.08399856090545654,0.4229275109891827,27.0924015045166,0.785576343536377,0.2686820924282074
001260.npy,texture-heavy,0.45525798201560974,0.30959703702184,20.65194320678711,0.7232148051261902,0.14710822701454163
001261.npy,smooth / low-frequency,0.027187339961528778,0.4782091140257168,33.768035888671875,0.9290869832038879,0.10496964305639267
001289.npy,texture-heavy,0.4368581771850586,0.30018817835133343,23.487934112548828,0.7323497533798218,0.20053759217262268
001295.npy,structured / edge-dominated,0.14351721107959747,0.4424709981189515,29.459300994873047,0.78105628490448,0.33820289373397827
001340.npy,smooth / low-frequency,0.01392455492168665,0.2837081398595475,29.711753845214844,0.8013783693313599,0.3164965510368347
001390.npy,smooth / low-frequency,0.011564050801098347,0.20412440735878482,32.77871322631836,0.7307835817337036,0.3885142505168915
001393.npy,smooth / low-frequency,0.035589490085840225,0.23644762462289193,28.728866577148438,0.6901580691337585,0.40754416584968567
001399.npy,texture-heavy,0.3058875501155853,0.2600147809762922,24.167984008789062,0.5184611678123474,0.3388800621032715
001407.npy,smooth / low-frequency,0.013455137610435486,0.33356525267577786,36.98984909057617,0.8996309041976929,0.26025304198265076
001419.npy,structured / edge-dominated,0.09170602262020111,0.4164598079756671,26.535053253173828,0.7558268904685974,0.2441590428352356
001423.npy,smooth / low-frequency,0.019487762823700905,0.4645347281792503,29.698637008666992,0.8264808058738708,0.2910955250263214
001435.npy,smooth / low-frequency,0.020762553438544273,0.4818487554815234,36.328128814697266,0.94599449634552,0.06626727432012558
001453.npy,smooth / low-frequency,0.0038748253136873245,0.3274152062711425,30.20380210876465,0.8101942539215088,0.19143082201480865
001479.npy,structured / edge-dominated,0.06786184012889862,0.4106732041050432,29.68413543701172,0.8544865250587463,0.15689006447792053
001496.npy,smooth / low-frequency,0.018446501344442368,0.6484909501598916,29.831966400146484,0.8815879821777344,0.19318567216396332
001546.npy,structured / edge-dominated,0.07296205312013626,0.3935198163330889,30.776071548461914,0.8343555331230164,0.2050432711839676
001555.npy,structured / edge-dominated,0.0454881526529789,0.4155748123043073,25.47355842590332,0.720411479473114,0.2821241319179535
001563.npy,structured / edge-dominated,0.06394495815038681,0.4915274608674721,25.253726959228516,0.8359298706054688,0.14824150502681732
001577.npy,structured / edge-dominated,0.13005845248699188,0.5282868370942035,35.4405517578125,0.9342393279075623,0.12441323697566986
001588.npy,smooth / low-frequency,0.0318191722035408,0.2076993422371629,29.430435180664062,0.6195178627967834,0.4096575379371643
001609.npy,texture-heavy,0.051436323672533035,0.28940281888838987,27.038990020751953,0.7885854840278625,0.1690899133682251
001619.npy,smooth / low-frequency,0.021937968209385872,0.38257137334855906,30.393230438232422,0.8028436899185181,0.21980459988117218
001623.npy,smooth / low-frequency,0.026480454951524734,0.4921950486159177,31.197715759277344,0.8666681051254272,0.19091400504112244
001639.npy,structured / edge-dominated,0.20961731672286987,0.3848409391617857,22.385784149169922,0.7467710375785828,0.2627691328525543
001683.npy,structured / edge-dominated,0.06123286113142967,0.40256516392634817,27.280818939208984,0.9077773094177246,0.11759281158447266
001705.npy,smooth / low-frequency,0.006374392192810774,0.24339407154077444,33.24620056152344,0.9013698101043701,0.18683287501335144
001707.npy,smooth / low-frequency,0.010624734684824944,0.23443402519821238,34.66685485839844,0.921800971031189,0.1258072406053543
001727.npy,texture-heavy,0.14705444872379303,0.3122138982346206,23.06378173828125,0.660301685333252,0.2441439926624298
001766.npy,texture-heavy,0.04217200353741646,0.20627401432226322,28.21914291381836,0.45698636770248413,0.5325172543525696
001780.npy,structured / edge-dominated,0.24354515969753265,0.47306696610274906,28.000080108642578,0.7777228951454163,0.3584163188934326
001794.npy,structured / edge-dominated,0.1542455554008484,0.45664958101347664,22.406723022460938,0.5902395844459534,0.2970869541168213
001828.npy,smooth / low-frequency,0.02953951619565487,0.2895145472414713,27.929458618164062,0.5930785536766052,0.37091660499572754
001865.npy,smooth / low-frequency,0.013501838780939579,0.24618236115216602,32.24568176269531,0.8184730410575867,0.2572189271450043
001893.npy,structured / edge-dominated,0.12864431738853455,0.519897603498103,23.7702579498291,0.7045643925666809,0.24928492307662964
001921.npy,structured / edge-dominated,0.052702147513628006,0.32575672300779923,23.63452911376953,0.6235963702201843,0.2764776349067688
001922.npy,texture-heavy,0.052744314074516296,0.3233227385874367,23.17448616027832,0.598864734172821,0.30674654245376587
001927.npy,texture-heavy,0.5232232809066772,0.19721704049664474,23.852703094482422,0.22625762224197388,0.7213745713233948
001951.npy,smooth / low-frequency,0.02989991568028927,0.4237335613598899,27.019670486450195,0.8549900054931641,0.18633374571800232
001969.npy,texture-heavy,0.04081606864929199,0.2343209328815222,29.133298873901367,0.5805569291114807,0.4619112014770508
001984.npy,smooth / low-frequency,0.015192713588476181,0.4464219937506636,30.612585067749023,0.8217270374298096,0.18221348524093628
001988.npy,structured / edge-dominated,0.040459249168634415,0.6083295560706511,32.423404693603516,0.954980194568634,0.07723187655210495
002010.npy,smooth / low-frequency,0.020903415977954865,0.2711685693583514,30.06072998046875,0.7195780873298645,0.3422791361808777
002019.npy,texture-heavy,0.17202655971050262,0.2997588655020482,23.093677520751953,0.659127950668335,0.33811402320861816
002052.npy,smooth / low-frequency,0.034490689635276794,0.5862382708529749,25.31160545349121,0.8606562614440918,0.1640348881483078
002054.npy,structured / edge-dominated,0.10902869701385498,0.326100966865073,24.759979248046875,0.7462090253829956,0.24843333661556244
002060.npy,structured / edge-dominated,0.11182601004838943,0.32895732579354187,23.175518035888672,0.7943302989006042,0.19577209651470184
002070.npy,smooth / low-frequency,0.021473443135619164,0.3239781246448991,36.81671905517578,0.9310970902442932,0.09932050853967667
002121.npy,texture-heavy,0.046107228845357895,0.3227277100122312,27.061996459960938,0.6982735991477966,0.20237253606319427
002132.npy,structured / edge-dominated,0.058175597339868546,0.37899535661813183,25.989070892333984,0.7743738293647766,0.21527862548828125
002159.npy,structured / edge-dominated,0.039340097457170486,0.33982315368484384,28.022939682006836,0.666376531124115,0.34996649622917175
002181.npy,smooth / low-frequency,0.029147807508707047,0.3686105930964079,28.297395706176758,0.8267964720726013,0.15160556137561798
002182.npy,smooth / low-frequency,0.03226521611213684,0.36862518698770114,27.556554794311523,0.8144876956939697,0.14607088267803192
002183.npy,smooth / low-frequency,0.02605230174958706,0.36224767082803705,28.067407608032227,0.8297625780105591,0.1379849910736084
002188.npy,structured / edge-dominated,0.12804155051708221,0.36380326926454476,21.590801239013672,0.6516814231872559,0.2696358859539032
002191.npy,structured / edge-dominated,0.06750817596912384,0.5397859957960248,24.762874603271484,0.790288507938385,0.28440019488334656
002197.npy,structured / edge-dominated,0.07516592741012573,0.3651545539421664,32.71147155761719,0.8788506388664246,0.1143421083688736
002200.npy,structured / edge-dominated,0.10180249065160751,0.3926651571340029,23.947879791259766,0.6039369702339172,0.4258872866630554
002203.npy,texture-heavy,0.1810099184513092,0.28043282114758705,25.915681838989258,0.7663495540618896,0.18179400265216827
002228.npy,texture-heavy,0.3608437776565552,0.2995523075427318,21.45827865600586,0.7310801148414612,0.21544966101646423
002237.npy,structured / edge-dominated,0.09338763356208801,0.35547765210945453,23.296981811523438,0.7731205224990845,0.22084949910640717
002271.npy,texture-heavy,0.03903348743915558,0.322790831561808,33.017791748046875,0.8645661473274231,0.180088073015213
002286.npy,structured / edge-dominated,0.22725187242031097,0.3710622931132151,23.44182586669922,0.7324991226196289,0.24882233142852783
002290.npy,smooth / low-frequency,0.01554078422486782,0.2789036110752914,29.2406005859375,0.8459117412567139,0.18741846084594727
002291.npy,smooth / low-frequency,0.014179011806845665,0.28057767559392216,29.0111141204834,0.8348843455314636,0.20552805066108704
002323.npy,structured / edge-dominated,0.06506131589412689,0.4128235798615953,24.414291381835938,0.7870556712150574,0.20767325162887573
002332.npy,structured / edge-dominated,0.2635798156261444,0.3446236303994649,27.673643112182617,0.5562497973442078,0.3440161645412445
002350.npy,texture-heavy,0.2131444364786148,0.2352541105826275,25.867034912109375,0.6878294944763184,0.24861623346805573
002360.npy,texture-heavy,0.2633677124977112,0.3060753547725371,19.89889907836914,0.6894292831420898,0.23747363686561584
002367.npy,smooth / low-frequency,0.012447979301214218,0.6207817102075239,31.673789978027344,0.9458252191543579,0.09228880703449249
002369.npy,smooth / low-frequency,0.024726705625653267,0.41742317315492583,32.993446350097656,0.9040156602859497,0.1268010288476944
002373.npy,structured / edge-dominated,0.04012226685881615,0.44099910566312134,28.37881851196289,0.8487335443496704,0.192417174577713
002391.npy,structured / edge-dominated,0.13921034336090088,0.3790597739727672,25.431766510009766,0.6031294465065002,0.4256730079650879
002401.npy,texture-heavy,0.369515985250473,0.2409378482331547,21.001033782958984,0.5847263932228088,0.28095680475234985
002415.npy,smooth / low-frequency,0.01267227903008461,0.3980295333467655,34.37928009033203,0.9150676131248474,0.1989310085773468
002439.npy,texture-heavy,0.45079830288887024,0.2101666462006572,20.449419021606445,0.21731415390968323,0.8664185404777527
002470.npy,smooth / low-frequency,0.0331960991024971,0.33815442984143335,29.45322036743164,0.6648449301719666,0.3506803512573242
002473.npy,texture-heavy,0.3490256667137146,0.3232604618438664,17.613937377929688,0.7214624285697937,0.25005125999450684
002477.npy,smooth / low-frequency,0.00770393293350935,0.23637568368934295,33.559749603271484,0.9118492007255554,0.10769107192754745
002501.npy,texture-heavy,0.3281152546405792,0.21593014515267148,25.237957000732422,0.6278578639030457,0.3139282763004303
