id,psnr,ssim,frac_out_of_range,lpips
000800.npy,20.792640686035156,0.2857504189014435,0.0,0.6984381675720215
000834.npy,21.463787078857422,0.6877543926239014,0.0,0.42934074997901917
000853.npy,20.01666831970215,0.47337618470191956,0.0,0.5882424712181091
000871.npy,19.608253479003906,0.26076334714889526,0.0,0.6979678869247437
000875.npy,24.024932861328125,0.6013643145561218,0.0,0.4401443898677826
000887.npy,27.853416442871094,0.8076000213623047,0.0,0.17860281467437744
000902.npy,25.23038101196289,0.7598705291748047,0.0,0.19945645332336426
000906.npy,20.599000930786133,0.1451038420200348,0.0,0.5908255577087402
000920.npy,26.560436248779297,0.8098502159118652,0.0,0.20905010402202606
000925.npy,27.49478530883789,0.6011554002761841,0.0,0.37590286135673523
000945.npy,23.22442054748535,0.6436529159545898,0.0,0.3981311619281769
000951.npy,28.622756958007812,0.7101468443870544,0.0,0.33347511291503906
000969.npy,21.69269561767578,0.5325928926467896,0.0,0.4444769024848938
000995.npy,23.618183135986328,0.31561335921287537,0.0,0.6138105988502502
000998.npy,24.801881790161133,0.702601969242096,0.0,0.35202556848526
000999.npy,25.14847183227539,0.7083390951156616,0.0,0.3332498073577881
001003.npy,19.6483097076416,0.22907902300357819,0.0,0.668867826461792
001013.npy,20.58440399169922,0.2580176889896393,0.0,0.5369464159011841
001021.npy,23.957805633544922,0.6610304713249207,0.0,0.3025036156177521
001030.npy,20.244348526000977,0.1951378583908081,0.0,0.6364611387252808
001077.npy,25.409936904907227,0.6341218948364258,0.0,0.40799739956855774
001083.npy,21.546642303466797,0.25892093777656555,0.0,0.6136659383773804
001110.npy,19.69533348083496,0.4885447919368744,0.0,0.4123649001121521
001177.npy,23.2181396484375,0.6727426052093506,0.0,0.38725313544273376
001187.npy,22.62594223022461,0.6119235157966614,0.0,0.40088680386543274
001188.npy,19.876693725585938,0.5061281323432922,0.0,0.449424147605896
001225.npy,22.391490936279297,0.2997394800186157,0.0,0.5733316540718079
001233.npy,24.913284301757812,0.5219326615333557,0.0,0.5315589904785156
001250.npy,20.700214385986328,0.26324382424354553,0.0,0.5884001851081848
001254.npy,22.55267333984375,0.4609254002571106,0.0,0.559557318687439
001260.npy,20.256221771240234,0.7331076264381409,0.0,0.16720464825630188
001261.npy,30.55190086364746,0.85333251953125,0.0,0.2817715108394623
001289.npy,23.11956024169922,0.7336777448654175,0.0,0.24964341521263123
001295.npy,28.079856872558594,0.7041581273078918,0.0,0.3298725187778473
001340.npy,22.67349624633789,0.47040417790412903,0.0,0.553526759147644
001390.npy,23.716140747070312,0.3431430459022522,0.0,0.5811272859573364
001393.npy,21.343324661254883,0.2963871359825134,0.0,0.5875702500343323
001399.npy,20.021076202392578,0.39544200897216797,0.0,0.46729105710983276
001407.npy,31.571758270263672,0.7426885962486267,0.0,0.34207767248153687
001419.npy,24.65524673461914,0.6495314836502075,0.0,0.28725239634513855
001423.npy,21.131736755371094,0.2850802540779114,0.0,0.6304244995117188
001435.npy,21.84820556640625,0.23374445736408234,0.0,0.5441981554031372
001453.npy,21.595977783203125,0.32418423891067505,0.0,0.5888034105300903
001479.npy,27.186288833618164,0.7520446181297302,0.0,0.31527262926101685
001496.npy,22.668285369873047,0.4445004463195801,0.0,0.471805602312088
001546.npy,28.378063201904297,0.7433250546455383,0.0,0.2800155282020569
001555.npy,21.658817291259766,0.5152302980422974,0.0,0.39447829127311707
001563.npy,21.84969711303711,0.5467461943626404,0.0,0.42230749130249023
001577.npy,33.448936462402344,0.8560665249824524,0.0,0.16920381784439087
001588.npy,21.020301818847656,0.21262602508068085,0.0,0.671933650970459
001609.npy,23.336122512817383,0.6307352185249329,0.0,0.36212992668151855
001619.npy,24.902549743652344,0.5564066767692566,0.0,0.4343688488006592
001623.npy,21.95917320251465,0.34647291898727417,0.0,0.5511648654937744
001639.npy,21.717689514160156,0.7309617400169373,0.0,0.3164936304092407
001683.npy,24.09101676940918,0.7287700176239014,0.0,0.3995741009712219
001705.npy,22.100814819335938,0.34435635805130005,0.0,0.666034460067749
001707.npy,23.056446075439453,0.3342112898826599,0.0,0.6746650338172913
001727.npy,20.049129486083984,0.5164700746536255,0.0,0.4099104404449463
001766.npy,20.81036376953125,0.2192259132862091,0.0,0.6390924453735352
001780.npy,19.067962646484375,0.17016589641571045,0.0,0.6154086589813232
001794.npy,18.2281494140625,0.3220120072364807,0.0,0.5427294373512268
001828.npy,23.445608139038086,0.5176956057548523,0.0,0.37043607234954834
001865.npy,23.782556533813477,0.37665343284606934,0.0,0.5805231332778931
001893.npy,20.297382354736328,0.4110458195209503,0.0,0.4130120277404785
